age,income,employment_years,credit_score,loan_amount,loan_term_months,loan_purpose,marital_status,dependents,existing_debt,home_ownership,education_level,num_of_credit_lines,previous_defaults,months_since_last_default,debt_to_income,loan_to_income,interest_rate,approved,approval_prob
56,70939.0,2.0,608.0,16158,72,home_improvement,married,0,13529.0,mortgage,high_school,2,0,,0.191,0.228,0.142,0,0.502
69,29659.0,6.0,543.0,6164,60,medical,married,0,17436.0,rent,master,2,0,,0.588,0.208,0.17,0,0.156
46,80343.0,6.0,764.0,4135,60,debt_consolidation,married,2,0.0,mortgage,phd,3,0,,0.0,0.051,0.03,1,0.916
32,46499.0,7.0,850.0,24500,60,car,married,3,4802.0,own,phd,3,0,,0.103,0.527,0.08,1,0.747
60,72215.0,5.0,592.0,31936,60,education,married,0,9717.0,mortgage,bachelor,5,0,,0.135,0.442,0.192,1,0.674
25,68361.0,4.0,697.0,20500,36,medical,married,0,21698.0,rent,other,5,0,,0.317,0.3,0.112,1,0.649
38,24030.0,5.0,638.0,13277,36,personal,single,0,30953.0,rent,bachelor,3,0,,1.288,0.552,0.191,0,0.046
56,62573.0,4.0,685.0,27250,60,home_improvement,single,3,0.0,mortgage,high_school,4,0,,0.0,0.435,0.145,1,0.698
36,58157.0,7.0,735.0,6578,36,debt_consolidation,married,1,5207.0,mortgage,master,2,1,87.0,0.09,0.113,0.105,1,0.575
40,50758.0,5.0,,25531,72,debt_consolidation,single,0,116.0,rent,bachelor,0,0,,0.002,0.503,0.221,0,0.341
28,47641.0,6.0,,9034,48,debt_consolidation,single,1,0.0,other,high_school,3,0,,0.0,0.19,0.132,1,0.649
28,47853.0,5.0,746.0,9525,36,debt_consolidation,married,0,14000.0,rent,master,4,0,,0.293,0.199,0.067,1,0.681
41,70317.0,2.0,691.0,11672,60,personal,single,0,10489.0,own,bachelor,5,0,,0.149,0.166,0.088,1,0.74
53,64448.0,4.0,676.0,13988,36,personal,divorced,0,0.0,mortgage,master,3,0,,0.0,0.217,0.105,1,0.72
57,50762.0,4.0,691.0,24149,72,home_improvement,single,1,0.0,rent,master,6,0,,0.0,0.476,0.15,0,0.712
41,12702.0,6.0,699.0,1957,72,debt_consolidation,divorced,1,16928.0,rent,high_school,4,0,,1.333,0.154,0.081,0,0.121
20,,11.0,743.0,8956,60,debt_consolidation,married,0,0.0,own,high_school,2,0,,0.0,0.179,0.057,1,0.888
39,68090.0,6.0,710.0,17096,24,personal,single,1,0.0,own,bachelor,6,1,9.0,0.0,0.251,0.145,1,0.697
19,107510.0,8.0,646.0,20578,36,personal,married,0,23851.0,rent,bachelor,3,0,,0.222,0.191,0.115,1,0.839
41,76886.0,5.0,678.0,500,48,debt_consolidation,married,1,12586.0,rent,high_school,4,0,,0.164,0.007,0.062,1,0.831
61,5000.0,3.0,645.0,7096,60,education,single,1,33214.0,mortgage,high_school,3,0,,6.641,1.419,0.35,0,0.05
47,51961.0,5.0,590.0,500,36,debt_consolidation,married,0,8395.0,rent,high_school,0,0,,0.162,0.01,0.107,0,0.483
55,95284.0,1.0,646.0,8005,24,debt_consolidation,widowed,1,43494.0,rent,bachelor,3,0,,0.456,0.084,0.094,0,0.618
